Draw Date,One,Two,Three,Four,Five,Six,Jackpot
3-Nov-18,17,15,40,44,32,29,$1.4 Million
31-Oct-18,16,29,15,32,26,19,$1.3 Million
27-Oct-18,10,12,28,39,1,20,$1.2 Million
24-Oct-18,20,9,15,40,1,44,$1.1 Million
20-Oct-18,16,22,17,11,13,40,$1.0 Million
17-Oct-18,39,5,20,10,2,36,$4.4 Million
13-Oct-18,9,19,42,8,12,39,$4.3 Million
10-Oct-18,33,13,4,36,20,40,$4.2 Million
6-Oct-18,42,44,17,35,8,31,$4.1 Million
3-Oct-18,14,1,39,16,40,6,$4.0 Million
29-Sep-18,26,12,28,44,6,4,$3.9 Million
26-Sep-18,37,2,14,31,24,43,$3.8 Million
22-Sep-18,35,37,6,32,38,16,$3.7 Million
19-Sep-18,13,14,26,6,17,18,$3.6 Million
15-Sep-18,23,18,42,34,2,6,$3.5 Million
12-Sep-18,44,29,22,5,6,12,$3.4 Million
8-Sep-18,18,10,28,1,19,15,$3.3 Million
5-Sep-18,42,26,19,23,30,2,$3.2 Million
1-Sep-18,29,39,2,4,22,12,$3.1 Million
29-Aug-18,7,1,23,2,24,10,$3.0 Million
25-Aug-18,42,5,30,28,20,16,$2.9 Million
22-Aug-18,5,38,40,20,13,37,$2.8 Million
18-Aug-18,40,14,27,12,21,33,$2.7 Million
15-Aug-18,33,36,35,29,17,40,$2.6 Million
11-Aug-18,18,14,16,35,15,12,$2.5 Million
8-Aug-18,9,39,29,13,43,42,$2.4 Million
4-Aug-18,16,19,3,31,27,39,$2.3 Million
1-Aug-18,28,31,5,34,20,25,$2.2 Million
28-Jul-18,27,31,3,7,15,28,$2.1 Million
25-Jul-18,30,11,1,25,40,41,$2.0 Million
21-Jul-18,41,31,35,36,34,28,$1.9 Million
18-Jul-18,41,35,40,27,21,2,$1.8 Million
14-Jul-18,12,8,24,5,30,1,$1.7 Million
11-Jul-18,13,34,16,28,36,17,$1.6 Million
7-Jul-18,14,7,18,13,17,37,$1.5 Million
4-Jul-18,31,6,22,9,26,10,$1.4 Million
30-Jun-18,4,16,11,3,26,24,$1.3 Million
27-Jun-18,25,7,10,39,43,34,$1.2 Million
23-Jun-18,40,16,5,20,18,11,$1.1 Million
20-Jun-18,9,5,16,26,37,18,$1.0 Million
16-Jun-18,11,13,4,15,12,30,$2.9 Million
13-Jun-18,43,34,19,6,41,12,$2.8 Million
9-Jun-18,6,16,44,35,5,27,$2.7 Million
6-Jun-18,11,14,36,40,24,13,$2.6 Million
2-Jun-18,34,21,42,7,12,36,$2.5 Million
30-May-18,3,36,25,21,16,43,$2.4 Million
26-May-18,7,15,14,31,23,32,$2.3 Million
23-May-18,20,21,34,42,4,41,$2.2 Million
19-May-18,30,39,27,35,6,19,$2.1 Million
16-May-18,44,31,10,1,20,43,$2.0 Million
12-May-18,40,43,18,20,32,16,$1.9 Million
9-May-18,7,24,3,16,28,31,$1.8 Million
5-May-18,1,2,5,23,10,13,$1.7 Million
2-May-18,24,33,35,14,28,41,$1.6 Million
28-Apr-18,6,26,34,19,8,36,$1.5 Million
25-Apr-18,9,43,28,41,33,35,$1.4 Million
21-Apr-18,6,19,16,8,25,3,$1.3 Million
18-Apr-18,34,30,21,23,10,37,$1.2 Million
14-Apr-18,11,13,4,21,39,40,$1.1 Million
11-Apr-18,44,17,7,26,14,27,$1.0 Million
7-Apr-18,2,35,7,18,16,11,$1.9 Million
4-Apr-18,6,20,17,3,4,7,$1.8 Million
31-Mar-18,26,37,32,21,43,8,$1.7 Million
28-Mar-18,28,37,11,27,2,35,$1.6 Million
24-Mar-18,11,10,26,13,44,21,$1.5 Million
21-Mar-18,20,10,27,25,38,19,$1.4 Million
17-Mar-18,2,40,33,43,23,29,$1.3 Million
14-Mar-18,36,7,28,24,19,13,$1.2 Million
10-Mar-18,34,5,23,19,13,22,$1.1 Million
7-Mar-18,32,13,3,27,7,12,$1.0 Million
3-Mar-18,31,26,4,39,41,24,$1.3 Million
28-Feb-18,25,12,28,8,16,6,$1.2 Million
24-Feb-18,37,7,27,19,24,42,$1.1 Million
21-Feb-18,21,3,1,5,27,8,$1.0 Million
17-Feb-18,8,12,1,25,36,27,$2.4 Million
14-Feb-18,33,11,15,1,43,36,$2.3 Million
10-Feb-18,31,5,28,12,34,4,$2.2 Million
7-Feb-18,29,31,13,12,22,26,$2.1 Million
3-Feb-18,5,35,13,21,30,42,$2.0 Million
31-Jan-18,38,1,33,19,20,37,$1.9 Million
27-Jan-18,38,23,17,31,4,7,$1.8 Million
24-Jan-18,23,40,1,24,27,37,$1.7 Million
20-Jan-18,40,41,6,16,13,44,$1.6 Million
17-Jan-18,17,31,44,16,13,11,$1.5 Million
13-Jan-18,39,31,5,17,18,19,$1.4 Million
10-Jan-18,38,13,7,8,16,10,$1.3 Million
6-Jan-18,31,21,8,36,7,27,$1.2 Million
3-Jan-18,22,29,27,37,19,21,$1.1 Million
30-Dec-17,1,38,3,22,25,4,$1.0 Million
27-Dec-17,33,14,5,11,34,30,$7.3 Million
23-Dec-17,22,23,38,6,11,13,$7.1 Million
20-Dec-17,16,3,5,20,40,39,$6.9 Million
16-Dec-17,22,35,20,29,1,2,$6.7 Million
13-Dec-17,9,7,36,11,25,31,$6.5 Million
9-Dec-17,25,24,36,17,28,38,$6.4 Million
6-Dec-17,20,28,40,7,35,30,$6.3 Million
2-Dec-17,4,41,36,29,7,15,$6.2 Million
29-Nov-17,24,6,27,13,5,36,$6.1 Million
25-Nov-17,31,39,26,20,30,18,$6.0 Million
22-Nov-17,13,21,31,26,16,29,$5.9 Million
18-Nov-17,38,18,33,40,28,44,$5.8 Million
15-Nov-17,6,40,26,21,25,23,$5.7 Million
11-Nov-17,36,19,3,35,32,8,$5.6 Million
8-Nov-17,12,44,39,41,24,28,$5.5 Million
4-Nov-17,4,11,19,41,30,44,$5.4 Million
1-Nov-17,30,4,25,39,22,10,$5.3 Million
28-Oct-17,17,42,31,4,12,34,$5.2 Million
25-Oct-17,39,24,44,4,28,11,$5.1 Million
21-Oct-17,31,7,42,19,24,35,$5.0 Million
18-Oct-17,18,40,22,4,29,42,$4.9 Million
14-Oct-17,4,13,11,40,43,2,$4.8 Million
11-Oct-17,16,27,8,15,35,17,$4.7 Million
7-Oct-17,10,37,18,15,5,26,$4.6 Million
4-Oct-17,19,4,11,21,44,3,$4.5 Million
30-Sep-17,12,35,18,6,17,15,$4.4 Million
27-Sep-17,16,18,17,41,20,27,$4.3 Million
23-Sep-17,2,5,15,12,41,21,$4.2 Million
20-Sep-17,40,17,26,12,28,29,$4.1 Million
16-Sep-17,10,42,5,3,43,19,$4.0 Million
13-Sep-17,8,31,21,37,30,4,$3.9 Million
9-Sep-17,4,35,34,39,16,12,$3.8 Million
6-Sep-17,38,33,1,23,44,41,$3.7 Million
2-Sep-17,7,29,42,38,40,31,$3.6 Million
30-Aug-17,3,17,41,36,44,37,$3.5 Million
26-Aug-17,42,26,43,38,3,12,$3.4 Million
23-Aug-17,4,24,18,3,28,5,$3.3 Million
19-Aug-17,3,32,16,12,42,15,$3.2 Million
16-Aug-17,29,3,25,33,34,31,$3.1 Million
12-Aug-17,24,31,44,8,6,4,$3.0 Million
9-Aug-17,11,6,36,39,12,9,$2.9 Million
5-Aug-17,26,16,17,44,31,33,$2.8 Million
2-Aug-17,2,43,23,37,15,24,$2.7 Million
29-Jul-17,16,4,3,33,38,7,$2.6 Million
26-Jul-17,19,17,5,6,34,20,$2.5 Million
22-Jul-17,24,17,3,34,1,2,$2.4 Million
19-Jul-17,22,3,38,34,41,36,$2.3 Million
15-Jul-17,40,14,34,10,24,1,$2.2 Million
12-Jul-17,17,10,5,42,20,44,$2.1 Million
8-Jul-17,1,6,32,4,36,30,$2.0 Million
5-Jul-17,32,3,16,1,17,25,$1.9 Million
1-Jul-17,26,10,17,12,27,5,$1.8 Million
28-Jun-17,15,42,33,13,41,27,$1.7 Million
24-Jun-17,26,28,40,36,27,16,$1.6 Million
21-Jun-17,21,41,1,32,42,37,$1.5 Million
17-Jun-17,37,33,18,27,26,28,$1.4 Million
14-Jun-17,24,44,3,25,23,31,$1.3 Million
10-Jun-17,13,1,20,22,43,16,$1.2 Million
7-Jun-17,40,39,30,8,28,18,$1.1 Million
3-Jun-17,21,27,44,18,2,19,$1.0 Million
31-May-17,43,6,5,4,8,27,$2.9 Million
27-May-17,10,3,41,37,44,5,$2.8 Million
24-May-17,22,12,19,13,6,16,$2.7 Million
20-May-17,31,21,12,13,39,35,$2.6 Million
17-May-17,13,44,7,43,40,23,$2.5 Million
13-May-17,9,36,33,31,34,15,$2.4 Million
10-May-17,24,3,33,25,30,31,$2.3 Million
6-May-17,32,12,26,21,30,39,$2.2 Million
3-May-17,5,26,12,3,23,36,$2.1 Million
29-Apr-17,14,23,39,8,16,26,$2.0 Million
26-Apr-17,28,10,13,4,38,35,$1.9 Million
22-Apr-17,34,30,26,28,42,33,$1.8 Million
19-Apr-17,36,4,7,22,17,31,$1.7 Million
15-Apr-17,16,26,18,29,19,31,$1.6 Million
12-Apr-17,35,9,4,19,3,44,$1.5 Million
8-Apr-17,24,32,38,18,16,6,$1.4 Million
5-Apr-17,40,31,44,12,32,14,$1.3 Million
1-Apr-17,13,39,31,8,40,18,$1.2 Million
29-Mar-17,17,33,1,36,11,18,$1.1 Million
25-Mar-17,15,27,25,36,13,44,$1.0 Million
22-Mar-17,35,36,12,3,38,31,$1.6 Million
18-Mar-17,20,27,10,15,28,26,$1.5 Million
15-Mar-17,41,29,26,8,6,30,$1.4 Million
11-Mar-17,25,2,26,14,18,30,$1.3 Million
8-Mar-17,12,43,9,18,24,41,$1.2 Million
4-Mar-17,3,22,42,23,6,16,$1.1 Million
1-Mar-17,25,14,15,8,42,39,$1.0 Million
25-Feb-17,4,16,43,1,9,6,$1.3 Million
22-Feb-17,30,40,6,14,8,13,$1.2 Million
18-Feb-17,21,33,44,22,19,26,$1.1 Million
15-Feb-17,39,18,40,37,31,6,$1.0 Million
11-Feb-17,15,20,6,19,26,38,$3.5 Million
8-Feb-17,6,11,38,30,31,10,$3.4 Million
4-Feb-17,19,9,8,37,23,29,$3.3 Million
1-Feb-17,43,20,33,16,10,40,$3.2 Million
28-Jan-17,32,14,18,3,38,23,$3.1 Million
25-Jan-17,40,21,22,34,26,12,$3.0 Million
21-Jan-17,32,19,41,42,16,38,$2.9 Million
18-Jan-17,3,41,42,32,26,20,$2.8 Million
14-Jan-17,7,2,14,31,24,32,$2.7 Million
11-Jan-17,12,38,10,3,15,34,$2.6 Million
7-Jan-17,40,43,12,28,22,1,$2.5 Million
4-Jan-17,17,1,2,20,25,34,$2.4 Million
31-Dec-16,29,16,38,7,12,18,$2.3 Million
28-Dec-16,44,9,24,21,15,43,$2.2 Million
24-Dec-16,32,7,19,30,13,41,$2.1 Million
